Neighborhood,Date,Connections,Key
 Parks,10/12/2014,826,601
 Parks,10/13/2014,762,602
 Parks,10/14/2014,756,603
 Parks,10/15/2014,850,604
 Parks,10/16/2014,473,605
 Parks,10/17/2014,860,606
 Parks,10/18/2014,804,607
 Parks,10/19/2014,580,608
 Parks,10/20/2014,609,609
 Parks,10/21/2014,585,610
 Parks,10/22/2014,397,611
 Parks,10/23/2014,384,612
 Parks,10/24/2014,584,613
 Parks,10/25/2014,804,614
 Parks,10/26/2014,508,615
 Parks,10/27/2014,611,616
 Parks,10/28/2014,702,617
 Parks,10/29/2014,751,618
 Parks,10/30/2014,635,619
 Parks,10/31/2014,736,620
 Parks,11/01/2014,360,621
 Parks,11/02/2014,261,622
 Parks,11/03/2014,630,623
 Parks,11/04/2014,591,624
 Parks,11/05/2014,627,625
 Parks,11/06/2014,418,626
 Parks,11/07/2014,499,627
 Parks,11/08/2014,632,628
 Parks,11/09/2014,563,629
 Roslindale,01/07/2015,380,630
 Roslindale,01/08/2015,247,631
 Roslindale,01/09/2015,407,632
 Roslindale,01/10/2015,302,633
 Roslindale,01/11/2015,197,634
 Roxbury,01/05/2015,1108,635
 Roxbury,01/06/2015,1023,636
 Roxbury,01/07/2015,1028,637
 Roxbury,01/08/2015,702,638
 Roxbury,01/09/2015,1058,639
 Roxbury,01/10/2015,797,640
 Roxbury,01/11/2015,685,641
 Charlestown,01/12/2015,0,642
 Charlestown,01/13/2015,0,643
 Charlestown,01/14/2015,0,644
 Charlestown,01/15/2015,0,645
 Charlestown,01/16/2015,0,646
 Charlestown,01/17/2015,0,647
 Charlestown,01/18/2015,0,648
 City Hall Truck,01/12/2015,0,649
 City Hall Truck,01/13/2015,0,650
 City Hall Truck,01/14/2015,0,651
 City Hall Truck,01/15/2015,0,652
 City Hall Truck,01/16/2015,0,653
 City Hall Truck,01/17/2015,0,654
 City Hall Truck,01/18/2015,0,655
 Dorchester,01/12/2015,483,656
 Dorchester,01/13/2015,396,657
 Dorchester,01/14/2015,362,658
 Dorchester,01/15/2015,369,659
 Dorchester,01/16/2015,414,660
 Dorchester,01/17/2015,292,661
 Dorchester,01/18/2015,239,662
 Downtown Boston,01/12/2015,209,663
 Downtown Boston,01/13/2015,213,664
 Downtown Boston,01/14/2015,210,665
 Downtown Boston,01/15/2015,218,666
 Downtown Boston,01/16/2015,286,667
 Downtown Boston,01/17/2015,247,668
 Downtown Boston,01/18/2015,192,669
 East Boston,01/12/2015,161,670
 East Boston,01/13/2015,169,671
 East Boston,01/14/2015,161,672
 East Boston,01/15/2015,167,673
 East Boston,01/16/2015,160,674
 East Boston,01/17/2015,117,675
 East Boston,01/18/2015,96,676
 Parks,01/12/2015,299,677
 Parks,01/13/2015,374,678
 Parks,01/14/2015,355,679
 Parks,01/15/2015,380,680
 Parks,01/16/2015,431,681
 Parks,01/17/2015,400,682
 Parks,01/18/2015,352,683
 Roslindale,01/12/2015,366,684
 Roslindale,01/13/2015,425,685
 Roslindale,01/14/2015,375,686
 Roslindale,01/15/2015,414,687
 Roslindale,01/16/2015,439,688
 Roslindale,01/17/2015,286,689
 Roslindale,01/18/2015,230,690
 Roxbury,01/12/2015,956,691
 Roxbury,01/13/2015,1063,692
 Roxbury,01/14/2015,1059,693
 Roxbury,01/15/2015,1059,694
 Roxbury,01/16/2015,1001,695
 Roxbury,01/17/2015,687,696
 Roxbury,01/18/2015,605,697
 Charlestown,01/19/2015,0,698
 Charlestown,01/20/2015,0,699
 Charlestown,01/21/2015,0,700
 Charlestown,01/22/2015,0,701
 Charlestown,01/23/2015,0,702
 Charlestown,01/24/2015,0,703
 Charlestown,01/25/2015,0,704
 Charlestown,01/26/2015,0,705
 Charlestown,01/27/2015,0,706
 Charlestown,01/28/2015,0,707
 Charlestown,01/29/2015,0,708
 Charlestown,01/30/2015,0,709
 Charlestown,01/31/2015,0,710
 Charlestown,02/01/2015,0,711
